actual_price,discounted_price,discount_percentage,count
₹599,279.0,53%,1
₹599,295.0,51%,1
"₹1,295",719.0,44%,1
₹599,320.0,47%,1
"₹1,295",799.0,38%,1
₹599,350.0,42%,1
₹599,369.0,38%,1
₹599,416.0,31%,1
₹599,429.0,28%,1
₹599,449.0,25%,1
₹599,467.0,22%,1
₹599,479.0,20%,1
₹599,499.0,17%,1
"₹1,295",889.0,31%,1
"₹6,000",2464.0,59%,1
"₹6,000",3799.0,37%,1
"₹6,070",3645.0,40%,1
"₹6,100",3307.0,46%,1
"₹6,190",3600.0,42%,1
"₹1,295",1295.0,0%,1
"₹6,299",3249.0,48%,1
"₹6,355",5299.0,17%,1
"₹6,375",3249.0,49%,1
"₹6,499",2799.0,57%,1
"₹6,500",3299.0,49%,1
"₹6,700",2575.0,62%,1
"₹1,299",279.0,79%,1
"₹1,299",399.0,69%,1
"₹1,299",449.0,65%,1
"₹6,999",3179.0,55%,1
"₹6,999",3999.0,43%,1
"₹6,999",4999.0,29%,1
₹600,209.0,65%,1
